text,label,source_file,disk_type,capacity,drive_count,ports,protocol,speed,form_factor,mode,cable_type,length,fiber,slots,interface,connector
"Blanking Panel,IO Module",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Power Supply,2000W Titanium,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Data at Rest Encryption Capable Operating Sys,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Platform Personality DNA,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"BLANK,DSK DRV FILLER,NS224,-C",מדף דיסקים,tyvrym-1.xlsx,,,,,,,,,,,,24 slots,,
"Software,ONTAP One",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
S3 SnapMirror SW,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Software,SnapMirror Cloud,ONTAP One",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Snapmirror Cloud SW,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
FAS90 Model,שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
FAS90 HA System,שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
FAS90 System Serial Attached,אחר,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP One Package,Encryption,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"FAS90 HA System,-C",שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Flash Cache,4.0TB,NVMe SSD Module,Gen4,-C",דיסק,tyvrym-1.xlsx,NVMe,4.0TB,,,,,,,,,,,,
"SW,ONTAP9.17,Data at Rest Encrypt Capable",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Disk Shelf,4U60,12G,Empty,DS460C,-C",מדף דיסקים,tyvrym-1.xlsx,,,,,,,,,,,,60 slots,12G SAS,
"Drive Pack,HDD,12G,10x22TB,DS460C,-C",דיסק,tyvrym-1.xlsx,HDD,22TB,10,,,,,,,,,,,
"SW,ONTAP One Package,Per TB,NLSAS,FAS90,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP,Per TB,NLSAS,Cap Pricing,FAS90",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,OTHER,OO,Per TB,NLSAS,Cap Pricing,FAS90",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"IO Module,2PT,100GbE,B,-C",כרטיסיה,tyvrym-1.xlsx,,,,2 ports,ETH,100G,,,,,,,,
"IO Module,4PT,10/25GbE,-C",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,ETH,25G,,,,,,,,
"IO Module,4-PT miniSAS,-C",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,,,,,,,,,,
"Cable,12Gb,Mini SAS HD,2m,-C",כבל,tyvrym-1.xlsx,,,,,,12G,,,MiniSAS,2m,,,,
"Cable,Cntlr-Switch OM4,MPO/MPO,5m,-C",כבל,tyvrym-1.xlsx,,,,,,,,,MPO-MPO,5m,OM4/MMF,,,
"Cable,100GbE,QSFP28-QSFP28,Cu,0.5m,-C",כבל,tyvrym-1.xlsx,,,,,,100G,,,QSFP-QSFP,0.5m,,,,
"Cable,LC-LC,OM4,5m,-C",כבל,tyvrym-1.xlsx,,,,,,,,,LC-LC,5m,OM4/MMF,,,
"SFP28,25GbE,SR,-C",ג'יביק,tyvrym-1.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,
"QSFP28,100GbE,SR,-C",ג'יביק,tyvrym-1.xlsx,,,,,ETH,100G,QSFP28,MMF,,,,,,
"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Jumper Crd,In-Cab,C13-C14,-C",כבל,tyvrym-1.xlsx,,,,,,,,,Power,,,,,
"Power Supply,2000W Titanium,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Blanking Panel,IO Module",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Data at Rest Encryption Capable Operating Sys,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Software,ONTAP One",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
S3 SnapMirror SW,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Software,SnapMirror Cloud,ONTAP One",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Snapmirror Cloud SW,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Storage Shelf,DS460C,Model,AD,-C",מדף דיסקים,tyvrym-1.xlsx,,,,,,,,,,,,60 slots,,
"Disk Shelf,4U60,12G,Empty,AD,-C",מדף דיסקים,tyvrym-1.xlsx,,,,,,,,,,,,60 slots,12G SAS,
"Drive Pack,HDD,12G,10x22TB,DS460C,AD,-C",דיסק,tyvrym-1.xlsx,HDD,22TB,10,,,,,,,,,,,
"Cable,12Gb,Mini SAS HD,2m,-C",כבל,tyvrym-1.xlsx,,,,,,12G,,,MiniSAS,2m,,,,
"Storage Capacity,Per 0.1TB,Increments",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP One Pkg,Per-0.1TB,NLSAS,AddOn,F03,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP,Per-0.1TB,NLSAS,Cap,Add-On,F03",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,OTHER,OO,Per-0.1TB,NLSAS,Cap,Add-On,F03",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Switch,NetApp,Cluster,SAN,Storage,24-Node",מתג,tyvrym-1.xlsx,,,,24 ports,FC,,,,,,,,,
"Cluster Switch,N9336C 36Pt PTSX10/25/40/100G",מתג,tyvrym-1.xlsx,,,,36 ports,ETH,10G/100G,,,,,,,,
"HW SUPP 9336,X190200/X190210,24X7X4OS",אחר,tyvrym-1.xlsx,,,,,,,,,,,,,,
Cisco Switch Service Contract,מתג,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Entitlement,Cisco Switch NOW Site",מתג,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Jumper Crd,In-Cab,48-IN,C13-C14",כבל,tyvrym-1.xlsx,,,,,,,,,Power,,,,,
"IO Module,4PT,FC,Target,w/SFP",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,FC,,,,,,,,,
"IO Module,4P,64Gb FC,Target-Init,w/32Gb SFP",כרטיסיה,tyvrym-1.xlsx,,,,,FC,32G/64G,,,,,,,,
"AFF A30,Model",אחר,tyvrym-1.xlsx,,,,,,,,,,,,,,
AFF A30 HA System,שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
AFF A30 System Serial Attached,אחר,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP Base Package,Encryption,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"AFF A30 HA System,-C",שרת אחסון,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP DSR,IPA,Data at Rest Encrypt Capable",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"NVMe SHLF,2U24,Empty,NSM100B,-C",מדף דיסקים,tyvrym-1.xlsx,NVMe,,,,,,,,,,,24 slots,NVMe,
"Drive Pack 2X15.3TB,NVMe4,SED,-C",דיסק,tyvrym-1.xlsx,NVMe,15.3TB,2,,,,,,,,,,,
"SW,ONTAP Base Package,Per TB,Flash,A30,-C",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,ONTAP,Per TB,Flash,Cap Pricing,A30",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,OTHER,OB,Per TB,Flash,Cap Pricing,A30",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Cable,100GbE,QSFP28-QSFP28,Cu,2m,-C",כבל,tyvrym-1.xlsx,,,,,,100G,,,QSFP-QSFP,2m,,,,
"SFP28,25GbE,SR,-C",ג'יביק,tyvrym-1.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,
"Rail,4-Post,Thin,Rnd/Sq-Hole,Sm,Adj,24-32,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"Power Supply,1600W,Titanium,-C",ציוד נלווה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Data at Rest Encryption Capable Operating Sys,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
Platform Personality DNA,רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"IO Module,2PT,100GbE,-C",כרטיסיה,tyvrym-1.xlsx,,,,2 ports,ETH,100G,,,,,,,,
"IO Module,4PT,10/25GbE,-C",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,ETH,25G,,,,,,,,
"Cable,100GbE,QSFP28-QSFP28,Cu,0.5m,-C",כבל,tyvrym-1.xlsx,,,,,,100G,,,QSFP-QSFP,0.5m,,,,
"Cable,LC-LC,OM4,5m,-C",כבל,tyvrym-1.xlsx,,,,,,,,,LC-LC,5m,OM4/MMF,,,
"Jumper Crd,In-Cab,C13-C14,-C",כבל,tyvrym-1.xlsx,,,,,,,,,Power,,,,,
"IO Module,4-PT miniSAS",כרטיסיה,tyvrym-1.xlsx,,,,4 ports,,,,,,,,,,
"SW,StorageGRID Webscale Software,Upgr",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
"SW,StorageGRID,Webscale,Incremental",רישוי ותמיכה,tyvrym-1.xlsx,,,,,,,,,,,,,,
PowerScale F710,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale F710,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
"F710 2.5"" HDD Drive Carrier",דיסק,tyvrym-2.xlsx,HDD,,,,,,,,,,,,,
154TB (15.36TB x 10) QLC ISE NVMe SSD,דיסק,tyvrym-2.xlsx,NVMe,154TB,,,,,,,,,,,,
PowerScale F710 SDPM,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
FE 2x100GbE w/o Optics - F710,כרטיסיה,tyvrym-2.xlsx,,,,2,ETH,100G,,,,,,,,
BE 2x100GbE w/o Optics - F710,כרטיסיה,tyvrym-2.xlsx,,,,2,ETH,100G,,,,,,,,
F710 SPM1,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
2.6 GHz Processor x2,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
512GB 5600 MT/s DIMM Memory,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale F710 Memory Components,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale F710 Bezel,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Rack Rails with CMA (A16),ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Dual PSU 1400W RDNT,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
C13/C14 US (2M) x2,כבל,tyvrym-2.xlsx,,,,,,,,,Power,2m,,,,
Secure Component Validation License,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
CSV TRIG License,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Secure Enterprise Key Management License,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"IDRAC, 16G, Enterprise License",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
F710 Node Hardware,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
F710 Node Hardware Cont,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
Motherboard - DAO Only,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Production Factory Install - F710,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Trusted Module Platform,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
IDRAC Random Password,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale F710 Shipping,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Info F710 ISG Product,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Keep Your Component For Enterprise, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
No Field Deployment,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Virtual Base - VP,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Base License Bundle=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle F710=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Base License Bundle=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartConnect Base License Bundle=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Base License Bundle=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Base License Bundle=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Capacity License Bundle=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartConnect Capacity License Bundle=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle Capacity F710=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Capacity License Bundle=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Capacity License Bundle=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Capacity License Bundle=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartDedupe Base License F710=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartDedupe Capacity License F710=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
HDFS for OneFS ($0.00),רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus Additional Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Virtual Base - VP,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Base License F710 154-614TB=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Capacity License F710=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus OneFS All-Flash Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Accessories Base,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 3 Meter",כבל,tyvrym-2.xlsx,,,,,,,,,MPO-MPO,,OM4/MMF,,,
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 5 Meter",כבל,tyvrym-2.xlsx,,,,,,,,,MPO-MPO,,OM4/MMF,,,
"MPO Type B Crossover Cable, Multi Mode Fiber OM4, 10 Meter",כבל,tyvrym-2.xlsx,,,,,,,,,MPO-MPO,,OM4/MMF,,,
"Node Side, Dell EMC PowerEdge 100GbE QSFP28 SR4  85C Optic",ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
"Switch Side, Transceiver, 100GbE QSFP28 SR4, No FEC Capable, MPO, MMF",מתג,tyvrym-2.xlsx,,,,,ETH,100G,,,,,,,,
PowerScale A3100,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
A3100 L3 ISE Node,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
ISE 400TB (20x20TB),מדף דיסקים,tyvrym-2.xlsx,,,,,,,,,,,,,,
ISE 800GB SSD - A310/0,דיסק,tyvrym-2.xlsx,SSD,800GB,,,,,,,,,,,,
2x25GbE (SFP28) W/O OPTICS,כרטיסיה,tyvrym-2.xlsx,,,,2,ETH,25G,SFP28,,,,,,,
2x25GbE (SFP28) Back-end W/O OPTICS,כרטיסיה,tyvrym-2.xlsx,,,,2,ETH,25G,SFP28,,,,,,,
Transceivers/Optic/SFP+/SR/10GbE/2 GEN6,ג'יביק,tyvrym-2.xlsx,,,,,ETH,10G,SFP,MMF,,,,,,
Transceiver/Optic/SFP28/SR/25Gbe/Qty 2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Keep Your Component For Enterprise, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Custom Field Deployment,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Base Chassis - Deep A31-Series,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
4U Bezel UDS,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Hybrid Software - VP,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Base License Bundle A310/A3100 L3 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Base License Bundle A310/A3100 L3 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Base License Bundle A310/A3100 L3 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Base License Bundle A310/A3100 L3 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle A310/A3100 L3=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Capacity License Bundle A3 Tier 3 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Capacity License Bundle A3 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle Capacity A310/A3100 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Capacity License Bundle A3 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Capacity License Bundle A3 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartDedupe Base License A310/A3100 L3=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartDedupe Capacity License A310/A3100 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
HDFS for OneFS ($0.00),רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus Additional Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Hybrid Software - VP,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Base License A310/A3100 12-20TB L3=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
OneFS Capacity A310/A3100 L3=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"ProSupport Plus OneFS Hybrid Software Support-Maintenance, 60 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Accessories Virtual Base - VI,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PWCRD KIT for Deep Chassis,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
100G to 25G Breakout (4)SFP28 to (1)Q28 DAC 3M,כבל,tyvrym-2.xlsx,,,,,,,,,Breakout,3m,,,,
CABLE 100G Q28 to 4x25G SFP28 DAC 5M,כבל,tyvrym-2.xlsx,,,,,,,,,Breakout,5m,,,,
Transceiver/Optic/SFP28/SR/25Gbe/Qty 2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,25G,SFP28,MMF,,,,,,
ISG Product (info),ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale H7100,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
H7100 ISE Node,שרת אחסון,tyvrym-2.xlsx,,,,,,,,,,,,,,
ISE 400TB (20x20TB),מדף דיסקים,tyvrym-2.xlsx,,,,,,,,,,,,,,
ISE 7.68TB SSD - A310/0 and H710/0,דיסק,tyvrym-2.xlsx,SSD,7.68TB,,,,,,,,,,,,
2x100GbE (QSFP28) W/O OPTICS,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
2x100GbE (QSFP28) Back-end W/O OPTICS,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
Transceivers/Optic/QSFP28/SR4/100GbE/Qty2,ג'יביק,tyvrym-2.xlsx,,,,,ETH,100G,QSFP28,,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Keep Your Component For Enterprise, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Same Business Day Onsite Diagnosis Service, 60 Month(s)",אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Custom Field Deployment,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
Base Chassis - Deep H71-Series,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
4U Bezel UDS,ציוד נלווה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Parts Only Warranty 36 Months,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Extension, 24 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
"Prosupport Plus and 4Hr Mission Critical Initial, 36 Month(s)",רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
PowerScale Hybrid Software - VP,אחר,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Base License Bundle H710/H7100 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Base License Bundle H710/H7100 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle H710/H7100=ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Base License Bundle H710/H7100 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Base License Bundle H710/H7100 =ID,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartQuotas Capacity License Bundle H7=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
Enterprise Advanced Bundle Capacity H710/H7100=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SnapShotIQ Capacity License Bundle H7=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SmartPools Capacity License Bundle H7=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
SyncIQ Capacity License Bundle H7=CB,רישוי ותמיכה,tyvrym-2.xlsx,,,,,,,,,,,,,,
